iter	Logloss
0	0.6784310303
1	0.6660725098
2	0.6536030273
3	0.6410808716
4	0.6298042603
5	0.6198587036
6	0.60924823
7	0.6004338379
8	0.5923377686
9	0.5835219727
10	0.5753328857
11	0.5679102173
12	0.5608243408
13	0.5537846069
14	0.5478470459
15	0.542125
16	0.5359210205
17	0.530265686
18	0.5247509155
19	0.5196381226
20	0.5153101196
21	0.510456604
22	0.5058872986
23	0.5020527344
24	0.4984042358
25	0.4951526489
26	0.4913270874
27	0.4877114868
28	0.4849092102
29	0.4817590332
30	0.4789213867
31	0.4761433105
32	0.4737062988
33	0.4711357117
34	0.4689600525
35	0.466749939
36	0.4646584473
37	0.4624178772
38	0.4607864685
39	0.4586609192
40	0.4566904297
41	0.4550348511
42	0.4533504639
43	0.4518839722
44	0.4504230957
45	0.4492033691
46	0.4477974854
47	0.4462127075
48	0.4449429932
49	0.4436300354
50	0.4424917603
51	0.4414741821
52	0.440383728
53	0.4393825073
54	0.4383760376
55	0.4373511353
56	0.4363778381
57	0.4355862427
58	0.4347141113
59	0.4337113342
60	0.4330106812
61	0.4321864014
62	0.431480896
63	0.4307584534
64	0.430103363
65	0.4293830872
66	0.4288865967
67	0.4281768799
68	0.4276397095
69	0.4271721191
70	0.4265880737
71	0.4259501953
72	0.4254534302
73	0.424942688
74	0.4244532471
75	0.4240466919
76	0.4235838928
77	0.4230861816
78	0.4226309204
79	0.4222315979
80	0.4218400879
81	0.4213812561
82	0.4209289551
83	0.4204634094
84	0.4201384277
85	0.4197506104
86	0.4193347473
87	0.4189596558
88	0.4185785217
89	0.4182347412
90	0.4178924866
91	0.417513092
92	0.4171642456
93	0.416921936
94	0.4165403748
95	0.4162084351
96	0.415829895
97	0.4155838928
98	0.4153069458
99	0.414961731
100	0.4147373352
101	0.4145281982
102	0.4142323914
103	0.4141826782
104	0.4139343872
105	0.4136444092
106	0.4133864746
107	0.4131459351
108	0.4128659668
109	0.4125934143
110	0.412415741
111	0.4121542969
112	0.4119151306
113	0.4116554871
114	0.4113607483
115	0.4111860046
116	0.4109762573
117	0.4108599243
118	0.4106591492
119	0.410473877
120	0.4102846985
121	0.410171875
122	0.4098649597
123	0.4096810303
124	0.4094517212
125	0.4091970215
126	0.4089956665
127	0.4087805481
128	0.4086087952
129	0.4083934326
130	0.4082281189
131	0.4080319824
132	0.4079276123
133	0.4077682495
134	0.4076245117
135	0.4074707642
136	0.4074196167
137	0.407243042
138	0.4070951233
139	0.4069360046
140	0.4067871399
141	0.4065722046
142	0.4063965149
143	0.4062328491
144	0.4060149536
145	0.4058150024
146	0.40560849
147	0.4054337463
148	0.4052841187
149	0.4051838684
150	0.4050380554
151	0.4048811646
152	0.4047892151
153	0.4046529541
154	0.4044632568
155	0.4043483582
156	0.4041923523
157	0.4040390015
158	0.4039426575
159	0.4037562866
160	0.4036383057
161	0.4034624634
162	0.4033321228
163	0.4031893311
164	0.4031488953
165	0.4030280762
166	0.4029323425
167	0.4028510437
168	0.4027518921
169	0.402617218
170	0.402499176
171	0.4024183655
172	0.4022729797
173	0.4021520691
174	0.402018158
175	0.4019546509
176	0.4018894043
177	0.4017786865
178	0.4016239319
179	0.4015412598
180	0.4013725586
181	0.401140686
182	0.4010065308
183	0.4008901978
184	0.4007582397
185	0.4005892334
186	0.4004451294
187	0.4003397827
188	0.4001908875
189	0.4000381775
190	0.3998033447
191	0.3997041321
192	0.3996097412
193	0.3994859619
194	0.3993337402
195	0.3992249756
196	0.3991587524
197	0.3990751648
198	0.3989833984
199	0.3989332886
200	0.398800354
201	0.3986942139
202	0.3986210937
203	0.3984546509
204	0.3982843628
205	0.3980698242
206	0.3979944458
207	0.3978322144
208	0.3976514282
209	0.3975368042
210	0.397464325
211	0.3973912048
212	0.397336792
213	0.3971877747
214	0.3970168457
215	0.3969161987
216	0.3968068237
217	0.396704834
218	0.3965521851
219	0.3963513184
220	0.3962844238
221	0.3961959229
222	0.3960964355
223	0.3959472656
224	0.3958483276
225	0.3957397156
226	0.3956055298
227	0.3955316162
228	0.3954834595
229	0.3953931885
230	0.3952919312
231	0.3952453003
232	0.395158844
233	0.3950314941
234	0.3948699341
235	0.3948053589
236	0.3947229004
237	0.3945772705
238	0.3945179443
239	0.3943804932
240	0.394249115
241	0.3941619873
242	0.3940026245
243	0.3938778381
244	0.393802948
245	0.3936530457
246	0.3935398254
247	0.3934419861
248	0.3933187256
249	0.3932146301
250	0.3931446838
251	0.3930275574
252	0.3929054565
253	0.3927772217
254	0.3927041626
255	0.3926120605
256	0.3924906311
257	0.3923996277
258	0.3923212891
259	0.3922656555
260	0.3921230469
261	0.392024231
262	0.3919180908
263	0.3917939148
264	0.3917016602
265	0.3915422974
266	0.3914641418
267	0.3913642578
268	0.3912886047
269	0.3911604614
270	0.3911351929
271	0.3909641418
